Item number,Name,Family,Interface,Sensor type,Manufacturer,Frame rate,Resolution (h x v),Optical Area,Shutter,Optical class,Resolution,Pixel size,IP code,Data sheet
UI-3251LE-C-HQ: AB00433UI-3251LE-M-GL: AB00434,UI-3251LE,LE,USB 3.0,CMOS,e2v,60.0 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,No,UI-3251LE-C-HQUI-3251LE-M-GL
U3-3251LE-C-HQ: AB00660U3-3251LE-M-GL: AB00661,U3-3251LE,LE,USB 3.0,CMOS,e2v,40.0 fps,1600 x 1200,7.200 mm x 5.400 mm,Global Shutter,"1/1.8""",1.92 MPix,4.5 µm,No,U3-3251LE-C-HQU3-3251LE-M-GL
UI-3252LE-C: AB00438UI-3252LE-M: AB00439,UI-3252LE,LE,USB 3.0,CMOS,e2v,60.0 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,No,UI-3252LE-CUI-3252LE-M
U3-3252LE-C: AB00664U3-3252LE-M: AB00665,U3-3252LE,LE,USB 3.0,CMOS,e2v,40.0 fps,1600 x 1200,7.200 mm x 5.400 mm,Global Shutter,"1/1.8""",1.92 MPix,4.5 µm,No,U3-3252LE-CU3-3252LE-M
UI-3260CP-C-HQ Rev.2: AB00696UI-3260CP-M-GL Rev.2: AB00695,UI-3260CP Rev. 2,CP,USB 3.0,CMOS,Sony,47.0 fps,1936 x 1216,11.345 mm x 7.126 mm,Global Shutter,"1/1.2""",2.35 MPix,5.9 µm,IP30,UI-3260CP-C-HQ Rev.2UI-3260CP-M-GL Rev.2
AB02102,UI-3262SE,SE,USB 3.1 Gen. 1,CMOS,Sony,47.0 fps,1936 x 1216,11.345 mm x 7.126 mm,Global Shutter,"1/1.2""",2.35 MPix,5.9 µm,No,UI-3262SE-M
UI-3270CP-C-HQ Rev.2: AB00962UI-3270CP-M-GL Rev.2: AB00961,UI-3270CP Rev. 2,CP,USB 3.0,CMOS,Sony,57.0 fps,2056 x 1542,7.093 mm x 5.320 mm,Global Shutter,"1/1.8""",3.17 MPix,3.5 µm,IP30,UI-3270CP-C-HQ Rev.2UI-3270CP-M-GL Rev.2
UI-3270LE-C-HQ: AB00904UI-3270LE-M-GL: AB00905,UI-3270LE,LE,USB 3.1 Gen. 1,CMOS,Sony,57.0 fps,2056 x 1542,7.093 mm x 5.320 mm,Global Shutter,"1/1.8""",3.17 MPix,3.5 µm,IP30,UI-3270LE-C-HQUI-3270LE-M-GL
UI-3271LE-C-HQ: AB00906UI-3271LE-M-GL: AB00907,UI-3271LE,LE,USB 3.1 Gen. 1,CMOS,Sony,57.0 fps,2056 x 1542,7.093 mm x 5.320 mm,Global Shutter,"1/1.8""",3.17 MPix,3.5 µm,No,UI-3271LE-C-HQUI-3271LE-M-GL
UI-3271LE-C-HQ-VU: AB02201UI-3271LE-M-GL-VU: AB02202,UI-3271LE VU,LE,USB 3.1 Gen. 1,CMOS,Sony,57.0 fps,2056 x 1542,7.093 mm x 5.320 mm,Global Shutter,"1/1.8""",3.17 MPix,3.5 µm,No,UI-3271LE-C-HQ-VUUI-3271LE-M-GL-VU
UI-3272LE-C: AB00908UI-3272LE-M: AB00909,UI-3272LE,LE,USB 3.1 Gen. 1,CMOS,Sony,57.0 fps,2056 x 1542,7.093 mm x 5.320 mm,Global Shutter,"1/1.8""",3.17 MPix,3.5 µm,No,UI-3272LE-CUI-3272LE-M
UI-3272LE-C-VU: AB02203UI-3272LE-M-VU: AB02204,UI-3272LE VU,LE,USB 3.1 Gen. 1,CMOS,Sony,57.0 fps,2056 x 1542,7.093 mm x 5.320 mm,Global Shutter,"1/1.8""",3.17 MPix,3.5 µm,No,UI-3272LE-C-VUUI-3272LE-M-VU
UI-3274LE-C-HQ: AB00983UI-3274LE-M-GL: AB00984,UI-3274LE,LE,USB 3.1 Gen. 1,CMOS,Sony,57.0 fps,2056 x 1542,7.093 mm x 5.320 mm,Global Shutter,"1/1.8""",3.17 MPix,3.5 µm,No,UI-3274LE-C-HQUI-3274LE-M-GL
UI-3274LE-C-HQ-VU: AB02205UI-3274LE-M-GL-VU: AB02206,UI-3274LE VU,LE,USB 3.1 Gen. 1,CMOS,Sony,57.0 fps,2056 x 1542,7.093 mm x 5.320 mm,Global Shutter,"1/1.8""",3.17 MPix,3.5 µm,No,UI-3274LE-C-HQ-VUUI-3274LE-M-GL-VU
UI-3280CP-C-HQ Rev.2: AB00851UI-3280CP-M-GL Rev.2: AB00850,UI-3280CP Rev. 2,CP,USB 3.0,CMOS,Sony,36.0 fps,2456 x 2054,8.473 mm x 7.086 mm,Global Shutter,"2/3""",5.04 MPix,3.5 µm,IP30,UI-3280CP-C-HQ Rev.2UI-3280CP-M-GL Rev.2
UI-3280SE-C-HQ: AB00991UI-3280SE-M-GL: AB00992,UI-3280SE,SE,USB 3.1 Gen. 1,CMOS,Sony,36.0 fps,2456 x 2054,8.473 mm x 7.086 mm,Global Shutter,"2/3""",5.04 MPix,3.5 µm,IP30,UI-3280SE-C-HQUI-3280SE-M-GL
UI-3281SE-C-HQ: AB00993UI-3281SE-M-GL: AB00994,UI-3281SE,SE,USB 3.1 Gen. 1,CMOS,Sony,36.0 fps,2456 x 2054,8.473 mm x 7.086 mm,Global Shutter,"2/3""",5.04 MPix,3.5 µm,No,UI-3281SE-C-HQUI-3281SE-M-GL
UI-3282SE-C: AB00995UI-3282SE-M: AB00996,UI-3282SE,SE,USB 3.1 Gen. 1,CMOS,Sony,36.0 fps,2456 x 2054,8.473 mm x 7.086 mm,Global Shutter,"2/3""",5.04 MPix,3.5 µm,No,UI-3282SE-CUI-3282SE-M
UI-3290SE-C-HQ: AB02373UI-3290SE-M-GL: AB02374,UI-3290SE,SE,USB 3.1 Gen. 1,CMOS,Sony,33.0 fps,4104 x 2174,14.158 mm x 7.500 mm,Global Shutter,"1""",8.92 MPix,3.5 µm,IP30,UI-3290SE-C-HQUI-3290SE-M-GL
UI-3291SE-C-HQ: AB02375UI-3291SE-M-GL: AB02376,UI-3291SE,SE,USB 3.1 Gen. 1,CMOS,Sony,33.0 fps,4104 x 2174,14.158 mm x 7.500 mm,Global Shutter,"1""",8.92 MPix,3.5 µm,No,UI-3291SE-C-HQUI-3291SE-M-GL
UI-3292SE-C: AB02377UI-3292SE-M: AB02378,UI-3292SE,SE,USB 3.1 Gen. 1,CMOS,Sony,33.0 fps,4104 x 2174,14.158 mm x 7.500 mm,Global Shutter,"1""",8.92 MPix,3.5 µm,No,UI-3292SE-CUI-3292SE-M
UI-3360CP-C-HQ Rev.2: AB00516UI-3360CP-M-GL Rev.2: AB00517UI-3360CP-NIR-GL Rev.2: AB00624,UI-3360CP Rev. 2,CP,USB 3.0,CMOS,CMOSIS,152 fps,2048 x 1088,11.264 mm x 5.984 mm,Global Shutter,"2/3""",2.23 MPix,5.5 µm,IP30,UI-3360CP-C-HQ Rev.2UI-3360CP-M-GL Rev.2UI-3360CP-NIR-GL Rev.2
UI-3370CP-C-HQ Rev.2: AB00518UI-3370CP-M-GL Rev.2: AB00519UI-3370CP-NIR-GL Rev.2: AB00625,UI-3370CP Rev. 2,CP,USB 3.0,CMOS,CMOSIS,80.0 fps,2048 x 2048,11.264 mm x 11.264 mm,Global Shutter,"1""",4.19 MPix,5.5 µm,IP30,UI-3370CP-C-HQ Rev.2UI-3370CP-M-GL Rev.2UI-3370CP-NIR-GL Rev.2
AB00520,UI-3480CP Rev. 2,CP,USB 3.0,CMOS,ON Semiconductor,15.0 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP30,UI-3480CP-M-GL Rev.2
AB00485,UI-3480LE,LE,USB 3.0,CMOS,ON Semiconductor,15.2 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP30,UI-3480LE-M-GL
AB00659,U3-3480LE,LE,USB 3.0,CMOS,ON Semiconductor,12.5 fps,2560 x 1920,5.632 mm x 4.224 mm,Rolling Shutter,"1/2""",4.92 MPix,2.2 µm,IP30,U3-3480LE-M-GL
AB00491,UI-3480ML,ML,USB 3.0,CMOS,ON Semiconductor,15.2 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP30,UI-3480ML-M-GL
AB00671,U3-3480ML,ML,USB 3.0,CMOS,ON Semiconductor,12.5 fps,2560 x 1920,5.632 mm x 4.224 mm,Rolling Shutter,"1/2""",4.92 MPix,2.2 µm,IP30,U3-3480ML-M-GL
AB00487,UI-3481LE,LE,USB 3.0,CMOS,ON Semiconductor,15.2 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,UI-3481LE-M-GL
AB00663,U3-3481LE,LE,USB 3.0,CMOS,ON Semiconductor,12.5 fps,2560 x 1920,5.632 mm x 4.224 mm,Rolling Shutter,"1/2""",4.92 MPix,2.2 µm,No,U3-3481LE-M-GL
AB00489,UI-3482LE,LE,USB 3.0,CMOS,ON Semiconductor,15.2 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,UI-3482LE-M
AB00667,U3-3482LE,LE,USB 3.0,CMOS,ON Semiconductor,12.5 fps,2560 x 1920,5.632 mm x 4.224 mm,Rolling Shutter,"1/2""",4.92 MPix,2.2 µm,No,U3-3482LE-M
AB00521,UI-3580CP Rev. 2,CP,USB 3.0,CMOS,ON Semiconductor,15.0 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP30,UI-3580CP-C-HQ Rev.2
AB00484,UI-3580LE,LE,USB 3.0,CMOS,ON Semiconductor,15.2 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP30,UI-3580LE-C-HQ
AB00658,U3-3580LE,LE,USB 3.0,CMOS,ON Semiconductor,12.5 fps,2560 x 1920,5.632 mm x 4.224 mm,Rolling Shutter,"1/2""",4.92 MPix,2.2 µm,IP30,U3-3580LE-C-HQ
AB00490,UI-3580ML,ML,USB 3.0,CMOS,ON Semiconductor,15.2 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP30,UI-3580ML-C-HQ
AB00670,U3-3580ML,ML,USB 3.0,CMOS,ON Semiconductor,12.5 fps,2560 x 1920,5.632 mm x 4.224 mm,Rolling Shutter,"1/2""",4.92 MPix,2.2 µm,IP30,U3-3580ML-C-HQ
AB00486,UI-3581LE,LE,USB 3.0,CMOS,ON Semiconductor,15.2 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,UI-3581LE-C-HQ
AB00488,UI-3582LE,LE,USB 3.0,CMOS,ON Semiconductor,15.2 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,UI-3582LE-C
AB00662,U3-3581LE,LE,USB 3.0,CMOS,ON Semiconductor,12.5 fps,2560 x 1920,5.632 mm x 4.224 mm,Rolling Shutter,"1/2""",4.92 MPix,2.2 µm,No,U3-3581LE-C-HQ
AB00606,UI-3590CP Rev. 2,CP,USB 3.0,CMOS,ON Semiconductor,21.0 fps,4912 x 3684,6.140 mm x 4.605 mm,Rolling Shutter,"1/2.3""",18.10 MPix,1.3 µm,IP30,UI-3590CP-C-HQ Rev.2
AB00666,U3-3582LE,LE,USB 3.0,CMOS,ON Semiconductor,12.5 fps,2560 x 1920,5.632 mm x 4.224 mm,Rolling Shutter,"1/2""",4.92 MPix,2.2 µm,No,U3-3582LE-C
AB00720,UI-3590LE,LE,USB 3.0,CMOS,ON Semiconductor,12.2 fps,4912 x 3684,6.140 mm x 4.605 mm,Rolling Shutter,"1/2.3""",18.10 MPix,1.3 µm,IP30,UI-3590LE-C-HQ
AB00721,UI-3591LE,LE,USB 3.0,CMOS,ON Semiconductor,12.2 fps,4912 x 3684,6.140 mm x 4.605 mm,Rolling Shutter,"1/2.3""",18.10 MPix,1.3 µm,No,UI-3591LE-C-HQ
AB00722,UI-3592LE,LE,USB 3.0,CMOS,ON Semiconductor,12.2 fps,4912 x 3684,6.140 mm x 4.605 mm,Rolling Shutter,"1/2.3""",18.10 MPix,1.3 µm,No,UI-3592LE-C
UI-3860CP-C-HQ Rev.2: AB00853UI-3860CP-M-GL Rev.2: AB00852,UI-3860CP Rev. 2,CP,USB 3.0,CMOS,Sony,135 fps,1936 x 1096,5.610 mm x 3.175 mm,Rolling Shutter,"1/2.8""",2.12 MPix,2.9 µm,IP30,UI-3860CP-C-HQ Rev.2UI-3860CP-M-GL Rev.2
UI-3860LE-C-HQ: AB00858UI-3860LE-M-GL: AB00859,UI-3860LE,LE,USB 3.1 Gen. 1,CMOS,Sony,135 fps,1936 x 1096,5.610 mm x 3.175 mm,Rolling Shutter,"1/2.8""",2.12 MPix,2.9 µm,IP30,UI-3860LE-C-HQUI-3860LE-M-GL
UI-3861LE-C-HQ: AB00860UI-3861LE-M-GL: AB00861,UI-3861LE,LE,USB 3.1 Gen. 1,CMOS,Sony,135 fps,1936 x 1096,5.610 mm x 3.175 mm,Rolling Shutter,"1/2.8""",2.12 MPix,2.9 µm,No,UI-3861LE-C-HQUI-3861LE-M-GL
UI-3861LE-C-HQ-VU: AB02207UI-3861LE-M-GL-VU: AB02208,UI-3861LE VU,LE,USB 3.1 Gen. 1,CMOS,Sony,135 fps,1936 x 1096,5.610 mm x 3.175 mm,Rolling Shutter,"1/2.8""",2.12 MPix,2.9 µm,No,UI-3861LE-C-HQ-VUUI-3861LE-M-GL-VU
UI-3862LE-C: AB00862UI-3862LE-M: AB00863,UI-3862LE,LE,USB 3.1 Gen. 1,CMOS,Sony,135 fps,1936 x 1096,5.610 mm x 3.175 mm,Rolling Shutter,"1/2.8""",2.12 MPix,2.9 µm,No,UI-3862LE-CUI-3862LE-M
UI-3862LE-C-VU: AB02209UI-3862LE-M-VU: AB02210,UI-3862LE VU,LE,USB 3.1 Gen. 1,CMOS,Sony,135 fps,1936 x 1096,5.610 mm x 3.175 mm,Rolling Shutter,"1/2.8""",2.12 MPix,2.9 µm,No,UI-3862LE-C-VUUI-3862LE-M-VU
UI-3864LE-C-HQ: AB00977UI-3864LE-M-GL: AB00978,UI-3864LE,LE,USB 3.1 Gen. 1,CMOS,Sony,135 fps,1936 x 1096,5.610 mm x 3.175 mm,Rolling Shutter,"1/2.8""",2.12 MPix,2.9 µm,No,UI-3864LE-C-HQUI-3864LE-M-GL
UI-3864LE-C-HQ-VU: AB02211UI-3864LE-M-GL-VU: AB02212,UI-3864LE VU,LE,USB 3.1 Gen. 1,CMOS,Sony,135 fps,1936 x 1096,5.610 mm x 3.175 mm,Rolling Shutter,"1/2.8""",2.12 MPix,2.9 µm,No,UI-3864LE-C-HQ-VUUI-3864LE-M-GL-VU
UI-3880CP-C-HQ Rev.2: AB00855UI-3880CP-M-GL Rev.2: AB00854,UI-3880CP Rev. 2,CP,USB 3.0,CMOS,Sony,58.7 fps,3088 x 2076,7.410 mm x 4.980 mm,Rolling Shutter,"1/1.8""",6.41 MPix,2.4 µm,IP30,UI-3880CP-C-HQ Rev.2UI-3880CP-M-GL Rev.2
UI-3880LE-C-HQ: AB00864UI-3880LE-M-GL: AB00865,UI-3880LE,LE,USB 3.1 Gen. 1,CMOS,Sony,58.7 fps,3088 x 2076,7.410 mm x 4.980 mm,Rolling Shutter,"1/1.8""",6.41 MPix,2.4 µm,IP30,UI-3880LE-C-HQUI-3880LE-M-GL
UI-3881LE-C-HQ: AB00866UI-3881LE-M-GL: AB00867,UI-3881LE,LE,USB 3.1 Gen. 1,CMOS,Sony,58.7 fps,3088 x 2076,7.410 mm x 4.980 mm,Rolling Shutter,"1/1.8""",6.41 MPix,2.4 µm,No,UI-3881LE-C-HQUI-3881LE-M-GL
UI-3881LE-C-HQ-VU: AB02161UI-3881LE-M-GL-VU: AB02162,UI-3881LE VU,LE,USB 3.1 Gen. 1,CMOS,Sony,58.7 fps,3088 x 2076,7.410 mm x 4.980 mm,Rolling Shutter,"1/1.8""",6.41 MPix,2.4 µm,No,UI-3881LE-C-HQ-VUUI-3881LE-M-GL-VU
UI-3882LE-C: AB00868UI-3882LE-M: AB00869,UI-3882LE,LE,USB 3.1 Gen. 1,CMOS,Sony,58.7 fps,3088 x 2076,7.410 mm x 4.980 mm,Rolling Shutter,"1/1.8""",6.41 MPix,2.4 µm,No,UI-3882LE-CUI-3882LE-M
UI-3882LE-C-VU: AB02163UI-3882LE-M-VU: AB02164,UI-3882LE VU,LE,USB 3.1 Gen. 1,CMOS,Sony,58.7 fps,3088 x 2076,7.410 mm x 4.980 mm,Rolling Shutter,"1/1.8""",6.41 MPix,2.4 µm,No,UI-3882LE-C-VUUI-3882LE-M-VU
UI-3884LE-C-HQ: AB00979UI-3884LE-M-GL: AB00980,UI-3884LE,LE,USB 3.1 Gen. 1,CMOS,Sony,58.7 fps,3088 x 2076,7.410 mm x 4.980 mm,Rolling Shutter,"1/1.8""",6.41 MPix,2.4 µm,No,UI-3884LE-C-HQUI-3884LE-M-GL
UI-3884LE-C-HQ-VU: AB02165UI-3884LE-M-GL-VU: AB02166,UI-3884LE VU,LE,USB 3.1 Gen. 1,CMOS,Sony,58.7 fps,3088 x 2076,7.410 mm x 4.980 mm,Rolling Shutter,"1/1.8""",6.41 MPix,2.4 µm,No,UI-3884LE-C-HQ-VUUI-3884LE-M-GL-VU
AB.0010.1.50802.23,UI-5120SE,SE,GigE,CMOS,NIT,50.0 fps,768 x 576,7.680 mm x 5.760 mm,Rolling Shutter,"1/1.8""",0.44 MPix,10 µm,IP30,UI-5120SE-M-GL Rev.2
UI-5130CP-C-HQ Rev.2: AB00915UI-5130CP-M-GL Rev.2: AB00914,UI-5130CP Rev. 2,CP,GigE,CMOS,ON Semiconductor,205 fps,800 x 600,3.840 mm x 2.880 mm,Global Shutter,"1/3.6""",0.48 MPix,4.8 µm,IP30,UI-5130CP-C-HQ Rev.2UI-5130CP-M-GL Rev.2
UI-5130FA-C-HQ: AB02061UI-5130FA-M-GL: AB02062,UI-5130FA,FA,GigE,CMOS,ON Semiconductor,205 fps,800 x 600,3.840 mm x 2.880 mm,Global Shutter,"1/3.6""",0.48 MPix,4.8 µm,IP65/67,UI-5130FA-C-HQUI-5130FA-M-GL
UI-5130SE-C-HQ Rev.4: AB02069UI-5130SE-M-GL Rev.4: AB02070,UI-5130SE Rev. 4,SE,GigE,CMOS,ON Semiconductor,205 fps,800 x 600,3.840 mm x 2.880 mm,Global Shutter,"1/3.6""",0.48 MPix,4.8 µm,IP30,UI-5130SE-C-HQ Rev.4UI-5130SE-M-GL Rev.4
UI-5131SE-C-HQ Rev.4: AB02121UI-5131SE-M-GL Rev.4: AB02122,UI-5131SE Rev. 4,SE,GigE,CMOS,ON Semiconductor,205 fps,800 x 600,3.840 mm x 2.880 mm,Global Shutter,"1/3.6""",0.48 MPix,4.8 µm,No,UI-5131SE-C-HQ Rev.4UI-5131SE-M-GL Rev.4
Error 'Item number' occurred
UI-5140CP-C-HQ Rev.2: AB00917UI-5140CP-M-GL Rev.2: AB00916,UI-5140CP Rev. 2,CP,GigE,CMOS,ON Semiconductor,88.0 fps,1280 x 1024,6.144 mm x 4.915 mm,Global Shutter,"1/2""",1.31 MPix,4.8 µm,IP30,UI-5140CP-C-HQ Rev.2UI-5140CP-M-GL Rev.2
UI-5140FA-C-HQ: AB02063UI-5140FA-M-GL: AB02064,UI-5140FA,FA,GigE,CMOS,ON Semiconductor,88.0 fps,1280 x 1024,6.144 mm x 4.915 mm,Global Shutter,"1/2""",1.31 MPix,4.8 µm,IP65/67,UI-5140FA-C-HQUI-5140FA-M-GL
UI-5140SE-C-HQ Rev.4: AB02071UI-5140SE-M-GL Rev.4: AB02072,UI-5140SE Rev. 4,SE,GigE,CMOS,ON Semiconductor,88.0 fps,1280 x 1024,6.144 mm x 4.915 mm,Global Shutter,"1/2""",1.31 MPix,4.8 µm,IP30,UI-5140SE-C-HQ Rev.4UI-5140SE-M-GL Rev.4
UI-5141SE-C-HQ Rev.4: AB02125UI-5141SE-M-GL Rev.4: AB02126,UI-5141SE Rev. 4,SE,GigE,CMOS,ON Semiconductor,88.0 fps,1280 x 1024,6.144 mm x 4.915 mm,Global Shutter,"1/2""",1.31 MPix,4.8 µm,No,UI-5141SE-C-HQ Rev.4UI-5141SE-M-GL Rev.4
AB02128,UI-5142SE Rev. 4,SE,GigE,CMOS,ON Semiconductor,88.0 fps,1280 x 1024,6.144 mm x 4.915 mm,Global Shutter,"1/2""",1.31 MPix,4.8 µm,No,UI-5142SE-M Rev.4
UI-5200FA-C-HQ: AB02295UI-5200FA-M-GL: AB02296,UI-5200FA,FA,GigE,CMOS,Sony,9.0 fps,4104 x 3006,14.158 mm x 10.370 mm,Global Shutter,"1.1""",12.34 MPix,3.5 µm,IP65/67,UI-5200FA-C-HQUI-5200FA-M-GL
GV-5200FA-C-HQ: AB02297GV-5200FA-M-GL: AB02298,GV-5200FA,FA,GigE,CMOS,Sony,10.0 fps,4096 x 3000,14.132 mm x 10.350 mm,Global Shutter,"1.1""",12.29 MPix,3.5 µm,IP65/67,GV-5200FA-C-HQGV-5200FA-M-GL
UI-5200SE-C-HQ Rev.4: AB02277UI-5200SE-M-GL Rev.4: AB02278,UI-5200SE Rev. 4,SE,GigE,CMOS,Sony,9.0 fps,4104 x 3006,14.158 mm x 10.370 mm,Global Shutter,"1.1""",12.34 MPix,3.5 µm,IP30,UI-5200SE-C-HQ Rev.4UI-5200SE-M-GL Rev.4
GV-5200SE-C-HQ: AB02283GV-5200SE-M-GL: AB02284,GV-5200SE,SE,GigE,CMOS,Sony,10.0 fps,4096 x 3000,14.132 mm x 10.350 mm,Global Shutter,"1.1""",12.29 MPix,3.5 µm,IP30,GV-5200SE-C-HQGV-5200SE-M-GL
UI-5201SE-C-HQ Rev.4: AB02279UI-5201SE-M-GL Rev.4: AB02280,UI-5201SE Rev. 4,SE,GigE,CMOS,Sony,9.0 fps,4104 x 3006,14.158 mm x 10.370 mm,Global Shutter,"1.1""",12.34 MPix,3.5 µm,No,UI-5201SE-C-HQ Rev.4UI-5201SE-M-GL Rev.4
GV-5201SE-C-HQ: AB02285GV-5201SE-M-GL: AB02286,GV-5201SE,SE,GigE,CMOS,Sony,10.0 fps,4096 x 3000,14.132 mm x 10.350 mm,Global Shutter,"1.1""",12.29 MPix,3.5 µm,No,GV-5201SE-C-HQGV-5201SE-M-GL
Error 'Item number' occurred
GV-5202SE-C: AB02287GV-5202SE-M: AB02288,GV-5202SE,SE,GigE,CMOS,Sony,10.0 fps,4096 x 3000,14.132 mm x 10.350 mm,Global Shutter,"1.1""",12.29 MPix,3.5 µm,No,GV-5202SE-CGV-5202SE-M
UI-5220CP-C-HQ: AB.0010.1.56000.24UI-5220CP-M-GL: AB.0010.1.55900.23,UI-5220CP,CP,GigE,CMOS,ON Semiconductor,100 fps,752 x 480,4.512 mm x 2.880 mm,Global Shutter,"1/3""",0.36 MPix,6.0 µm,IP30,UI-5220CP-C-HQUI-5220CP-M-GL
UI-5220RE-C-HQ PoE Rev.2: AB00299UI-5220RE-M-GL PoE Rev.2: AB00300,UI-5220RE PoE,RE,GigE,CMOS,ON Semiconductor,100 fps,752 x 480,4.512 mm x 2.880 mm,Global Shutter,"1/3""",0.36 MPix,6.0 µm,IP65/67,UI-5220RE-C-HQ PoE Rev.2UI-5220RE-M-GL PoE Rev.2
UI-5220SE-C-HQ Rev.2: AB.0010.1.36702.24UI-5220SE-M-GL Rev.2: AB.0010.1.36802.23,UI-5220SE,SE,GigE,CMOS,ON Semiconductor,100 fps,752 x 480,4.512 mm x 2.880 mm,Global Shutter,"1/3""",0.36 MPix,6.0 µm,IP30,UI-5220SE-C-HQ Rev.2UI-5220SE-M-GL Rev.2
UI-5240CP-C-HQ Rev.2: AB02040UI-5240CP-M-GL Rev.2: AB02041UI-5240CP-NIR-GL Rev.2: AB02393,UI-5240CP Rev. 2,CP,GigE,CMOS,e2v,60.0 fps,1280 x 1024,6.784 mm x 5.427 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.31 MPix,5.3 µm,IP30,UI-5240CP-C-HQ Rev.2UI-5240CP-M-GL Rev.2UI-5240CP-NIR-GL Rev.2
GV-5240CP-C-HQ: AB02027GV-5240CP-M-GL: AB02028GV-5240CP-NIR-GL: AB02557,GV-5240CP,CP,GigE,CMOS,e2v,59.0 fps,1280 x 1024,6.784 mm x 5.427 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.31 MPix,5.3 µm,IP30,GV-5240CP-C-HQGV-5240CP-M-GLGV-5240CP-NIR-GL
UI-5240FA-C-HQ: AB02426UI-5240FA-M-GL: AB02427,UI-5240FA,FA,GigE,CMOS,e2v,60.0 fps,1280 x 1024,6.784 mm x 5.427 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.31 MPix,5.3 µm,IP65/67,UI-5240FA-C-HQUI-5240FA-M-GL
GV-5240FA-C-HQ: AB02429GV-5240FA-M-GL: AB02430GV-5240FA-NIR-GL: AB02431,GV-5240FA,FA,GigE,CMOS,e2v,59.0 fps,1280 x 1024,6.784 mm x 5.427 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.31 MPix,5.3 µm,IP65/67,GV-5240FA-C-HQGV-5240FA-M-GLGV-5240FA-NIR-GL
UI-5240SE-C-HQ Rev.2: AB.0010.1.48602.24UI-5240SE-M-GL Rev.2: AB.0010.1.48702.23UI-5240SE-NIR-GL Rev.2: AB00083,UI-5240SE,SE,GigE,CMOS,e2v,50.0 fps,1280 x 1024,6.784 mm x 5.427 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.31 MPix,5.3 µm,IP30,UI-5240SE-C-HQ Rev.2UI-5240SE-M-GL Rev.2UI-5240SE-NIR-GL Rev.2
