Item number,Name,Family,Interface,Sensor type,Manufacturer,Frame rate,Resolution (h x v),Optical Area,Shutter,Optical class,Resolution,Pixel size,IP code,Data sheet
UI-5271SE-C-HQ Rev.4: AB02129UI-5271SE-M-GL Rev.4: AB02130,UI-5271SE Rev. 4,SE,GigE,CMOS,Sony,36.0 fps,2056 x 1542,7.093 mm x 5.320 mm,Global Shutter,"1/1.8""",3.17 MPix,3.5 µm,No,UI-5271SE-C-HQ Rev.4UI-5271SE-M-GL Rev.4
GV-5271SE-C-HQ: AB02151GV-5271SE-M-GL: AB02152,GV-5271SE,SE,GigE,CMOS,Sony,22.0 fps,2048 x 1536,7.065 mm x 5.300 mm,Global Shutter,"1/1.8""",3.15 MPix,3.5 µm,No,GV-5271SE-C-HQGV-5271SE-M-GL
UI-5272SE-C Rev.4: AB02131UI-5272SE-M Rev.4: AB02132,UI-5272SE Rev. 4,SE,GigE,CMOS,Sony,36.0 fps,2056 x 1542,7.093 mm x 5.320 mm,Global Shutter,"1/1.8""",3.17 MPix,3.5 µm,No,UI-5272SE-C Rev.4UI-5272SE-M Rev.4
GV-5272SE-C: AB02153GV-5272SE-M: AB02154,GV-5272SE,SE,GigE,CMOS,Sony,22.0 fps,2048 x 1536,7.065 mm x 5.300 mm,Global Shutter,"1/1.8""",3.15 MPix,3.5 µm,No,GV-5272SE-CGV-5272SE-M
UI-5280CP-C-HQ Rev.2: AB00919UI-5280CP-M-GL Rev.2: AB00918,UI-5280CP Rev. 2,CP,GigE,CMOS,Sony,23.0 fps,2456 x 2054,8.473 mm x 7.086 mm,Global Shutter,"2/3""",5.04 MPix,3.5 µm,IP30,UI-5280CP-C-HQ Rev.2UI-5280CP-M-GL Rev.2
GV-5280CP-C-HQ: AB02019GV-5280CP-M-GL: AB02020,GV-5280CP,CP,GigE,CMOS,Sony,22.0 fps,2448 x 2048,8.445 mm x 7.065 mm,Global Shutter,"2/3""",5.01 MPix,3.5 µm,IP30,GV-5280CP-C-HQGV-5280CP-M-GL
UI-5280FA-C-HQ: AB00966UI-5280FA-M-GL: AB00965,UI-5280FA,FA,GigE,CMOS,Sony,23.0 fps,2456 x 2054,8.473 mm x 7.086 mm,Global Shutter,"2/3""",5.04 MPix,3.5 µm,IP65/67,UI-5280FA-C-HQUI-5280FA-M-GL
GV-5280FA-C-HQ: AB02013GV-5280FA-M-GL: AB02014,GV-5280FA,FA,GigE,CMOS,Sony,22.0 fps,2448 x 2048,8.445 mm x 7.065 mm,Global Shutter,"2/3""",5.01 MPix,3.5 µm,IP65/67,GV-5280FA-C-HQGV-5280FA-M-GL
UI-5280SE-C-HQ Rev.4: AB02065UI-5280SE-M-GL Rev.4: AB02066,UI-5280SE Rev. 4,SE,GigE,CMOS,Sony,23.0 fps,2456 x 2054,8.473 mm x 7.086 mm,Global Shutter,"2/3""",5.04 MPix,3.5 µm,IP30,UI-5280SE-C-HQ Rev.4UI-5280SE-M-GL Rev.4
GV-5280SE-C-HQ: AB02155GV-5280SE-M-GL: AB02156,GV-5280SE,SE,GigE,CMOS,Sony,22.0 fps,2448 x 2048,8.445 mm x 7.065 mm,Global Shutter,"2/3""",5.01 MPix,3.5 µm,IP30,GV-5280SE-C-HQGV-5280SE-M-GL
